Date 25.05.23, Time 15:10:49, Uptime:  15:10:49 up  2:29,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.4%
Date 25.05.23, Time 15:11:50, Uptime:  15:11:50 up  2:30,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.1%
Date 25.05.23, Time 15:12:50, Uptime:  15:12:50 up  2:31,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 6.6%
Date 25.05.23, Time 15:13:50, Uptime:  15:13:50 up  2:32,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.2%
Date 25.05.23, Time 15:14:50, Uptime:  15:14:50 up  2:33,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.3°C, CPU_load: 5.3%
Date 25.05.23, Time 15:15:51, Uptime:  15:15:51 up  2:34,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.5%
Date 25.05.23, Time 15:16:51, Uptime:  15:16:51 up  2:35,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 4.1%
Date 25.05.23, Time 15:17:51, Uptime:  15:17:51 up  2:36,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.8°C, CPU_load: 5.2%
Date 25.05.23, Time 15:18:52, Uptime:  15:18:52 up  2:37,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 6.4%
Date 25.05.23, Time 15:19:52, Uptime:  15:19:52 up  2:38,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.2%
Date 25.05.23, Time 15:20:52, Uptime:  15:20:52 up  2:39,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.8°C, CPU_load: 5.2%
Date 25.05.23, Time 15:21:53, Uptime:  15:21:53 up  2:40,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.2%
Date 25.05.23, Time 15:22:53, Uptime:  15:22:53 up  2:41,  4 users,  load average: 0.07, 0.03, 0.01, Load average:  0.07, 0.03, 0.01, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 15:23:53, Uptime:  15:23:53 up  2:42,  4 users,  load average: 0.06, 0.03, 0.01, Load average:  0.06, 0.03, 0.01, GPU_temp=temp=42.8'C, CPU_temp: 43.8°C, CPU_load: 7.6%
Date 25.05.23, Time 15:24:53, Uptime:  15:24:53 up  2:43,  4 users,  load average: 0.05, 0.04, 0.01, Load average:  0.05, 0.04, 0.01, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 15:25:54, Uptime:  15:25:54 up  2:44,  4 users,  load average: 0.02, 0.03, 0.00, Load average:  0.02, 0.03, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 6.4%
Date 25.05.23, Time 15:26:54, Uptime:  15:26:54 up  2:45,  4 users,  load average: 0.04, 0.03, 0.00, Load average:  0.04, 0.03, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 15:27:54, Uptime:  15:27:54 up  2:46,  4 users,  load average: 0.01, 0.03, 0.00, Load average:  0.01, 0.03, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 44.3°C, CPU_load: 5.4%
Date 25.05.23, Time 15:28:55, Uptime:  15:28:55 up  2:47,  4 users,  load average: 0.00, 0.02, 0.00, Load average:  0.00, 0.02, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 5.2%
Date 25.05.23, Time 15:29:55, Uptime:  15:29:55 up  2:48,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.2%
Date 25.05.23, Time 15:30:55, Uptime:  15:30:55 up  2:49,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 6.4%
Date 25.05.23, Time 15:31:56, Uptime:  15:31:56 up  2:50,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 7.6%
Date 25.05.23, Time 15:32:56, Uptime:  15:32:56 up  2:51,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 42.4°C, CPU_load: 6.4%
Date 25.05.23, Time 15:33:56, Uptime:  15:33:56 up  2:52,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 5.2%
Date 25.05.23, Time 15:34:56, Uptime:  15:34:56 up  2:53,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.2%
Date 25.05.23, Time 15:35:57, Uptime:  15:35:57 up  2:54,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 6.4%
Date 25.05.23, Time 15:36:57, Uptime:  15:36:57 up  2:55,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.8°C, CPU_load: 5.3%
