Date 25.05.23, Time 16:53:34, Uptime:  16:53:34 up  4:11,  4 users,  load average: 0.01, 0.01, 0.00, Load average:  0.01, 0.01, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 4.1%
Date 25.05.23, Time 16:54:34, Uptime:  16:54:34 up  4:12,  4 users,  load average: 0.14, 0.05, 0.01, Load average:  0.14, 0.05, 0.01, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 6.4%
Date 25.05.23, Time 16:55:35, Uptime:  16:55:35 up  4:13,  4 users,  load average: 0.05, 0.04, 0.01, Load average:  0.05, 0.04, 0.01, GPU_temp=temp=43.3'C, CPU_temp: 43.8°C, CPU_load: 6.4%
Date 25.05.23, Time 16:56:35, Uptime:  16:56:35 up  4:14,  4 users,  load average: 0.02, 0.03, 0.00, Load average:  0.02, 0.03, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 44.3°C, CPU_load: 6.4%
Date 25.05.23, Time 16:57:35, Uptime:  16:57:35 up  4:15,  4 users,  load average: 0.00, 0.02, 0.00, Load average:  0.00, 0.02, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 16:58:35, Uptime:  16:58:35 up  4:16,  4 users,  load average: 0.00, 0.02, 0.00, Load average:  0.00, 0.02, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 7.6%
Date 25.05.23, Time 16:59:36, Uptime:  16:59:36 up  4:17,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 17:00:36, Uptime:  17:00:36 up  4:18,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=41.8'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 17:01:36, Uptime:  17:01:36 up  4:19,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=44.3'C, CPU_temp: 43.8°C, CPU_load: 6.4%
Date 25.05.23, Time 17:02:37, Uptime:  17:02:37 up  4:20,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 17:03:37, Uptime:  17:03:37 up  4:21,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 17:04:37, Uptime:  17:04:37 up  4:22,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 6.5%
Date 25.05.23, Time 17:05:38, Uptime:  17:05:38 up  4:23,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.3%
Date 25.05.23, Time 17:06:38, Uptime:  17:06:38 up  4:24,  4 users,  load average: 0.06, 0.01, 0.00, Load average:  0.06, 0.01, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 42.8°C, CPU_load: 6.4%
Date 25.05.23, Time 17:07:38, Uptime:  17:07:38 up  4:25,  4 users,  load average: 0.02, 0.01, 0.00, Load average:  0.02, 0.01, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.8°C, CPU_load: 5.3%
Date 25.05.23, Time 17:08:38, Uptime:  17:08:38 up  4:26,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.3°C, CPU_load: 4.1%
Date 25.05.23, Time 17:09:39, Uptime:  17:09:39 up  4:27,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.1%
Date 25.05.23, Time 17:10:39, Uptime:  17:10:39 up  4:28,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.1%
Date 25.05.23, Time 17:11:39, Uptime:  17:11:39 up  4:29,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.4%
Date 25.05.23, Time 17:12:40, Uptime:  17:12:40 up  4:30,  4 users,  load average: 0.04, 0.01, 0.00, Load average:  0.04, 0.01, 0.00, GPU_temp=temp=44.3'C, CPU_temp: 44.3°C, CPU_load: 4.1%
Date 25.05.23, Time 17:13:40, Uptime:  17:13:40 up  4:31,  4 users,  load average: 0.01, 0.01, 0.00, Load average:  0.01, 0.01, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 17:14:40, Uptime:  17:14:40 up  4:32,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.2%
Date 25.05.23, Time 17:15:41, Uptime:  17:15:40 up  4:33,  4 users,  load average: 0.04, 0.01, 0.00, Load average:  0.04, 0.01, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.5%
Date 25.05.23, Time 17:16:41, Uptime:  17:16:41 up  4:34,  4 users,  load average: 0.01, 0.01, 0.00, Load average:  0.01, 0.01, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 44.3°C, CPU_load: 6.4%
Date 25.05.23, Time 17:17:41, Uptime:  17:17:41 up  4:35,  4 users,  load average: 0.04, 0.02, 0.00, Load average:  0.04, 0.02, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.4°C, CPU_load: 6.4%
Date 25.05.23, Time 17:18:41, Uptime:  17:18:41 up  4:36,  4 users,  load average: 0.01, 0.01, 0.00, Load average:  0.01, 0.01, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 6.4%
Date 25.05.23, Time 17:19:42, Uptime:  17:19:42 up  4:37,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 17:20:42, Uptime:  17:20:42 up  4:38,  4 users,  load average: 0.05, 0.02, 0.00, Load average:  0.05, 0.02, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 6.4%
Date 25.05.23, Time 17:21:42, Uptime:  17:21:42 up  4:39,  4 users,  load average: 0.05, 0.03, 0.00, Load average:  0.05, 0.03, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 17:22:43, Uptime:  17:22:43 up  4:40,  4 users,  load average: 0.10, 0.06, 0.01, Load average:  0.10, 0.06, 0.01, GPU_temp=temp=42.8'C, CPU_temp: 43.8°C, CPU_load: 6.4%
