,sensor_id,latency
0,temperature,1.256697
1,humidity,0.248493
2,pressure,0.041232
3,temperature,0.0527
4,humidity,0.062331
5,pressure,1.094351
6,temperature,0.096471
7,humidity,1.122714
8,pressure,0.115775
9,temperature,1.148928
10,humidity,0.147131
11,pressure,1.168204
12,temperature,0.169945
13,humidity,1.197036
14,pressure,0.189723
15,temperature,1.222768
16,humidity,0.217752
17,pressure,1.242418
18,temperature,0.244876
19,humidity,1.037161
20,pressure,0.032424
21,temperature,1.090788
22,humidity,0.08449
23,pressure,1.109774
24,temperature,0.112453
25,humidity,1.138904
26,pressure,0.131624
27,temperature,1.135937
28,humidity,0.132416
29,pressure,1.18432
30,temperature,0.188085
31,humidity,1.133855
32,pressure,0.126934
33,temperature,1.135455
34,humidity,0.130177
35,pressure,1.052739
36,temperature,0.054378
37,humidity,1.081459
38,pressure,0.071238
39,temperature,1.10156
40,humidity,0.099407
41,pressure,1.120324
42,temperature,0.122174
43,humidity,1.15066
44,pressure,0.143978
45,temperature,1.176573
46,humidity,0.172506
47,pressure,1.028724
48,temperature,0.03023
49,humidity,1.22149
50,pressure,0.216705
51,temperature,0.124476
52,humidity,1.052458
53,pressure,0.045151
54,temperature,1.040073
55,humidity,0.036102
56,pressure,1.098015
57,temperature,0.100553
58,humidity,1.129355
59,pressure,0.125346
60,temperature,1.155392
61,humidity,0.15092
62,pressure,1.174599
63,temperature,0.17673
64,humidity,1.204413
65,pressure,0.196652
66,temperature,1.229603
67,humidity,0.225539
68,pressure,1.027988
69,temperature,0.030725
70,humidity,1.074677
71,pressure,0.067126
72,temperature,1.099027
73,humidity,0.095322
74,pressure,1.118236
75,temperature,0.120849
76,humidity,1.145832
77,pressure,0.139014
78,temperature,1.032979
79,humidity,0.028726
80,pressure,1.02716
81,temperature,0.029425
82,humidity,1.219234
83,pressure,0.240271
84,temperature,1.040883
85,humidity,0.036831
86,pressure,1.060028
87,temperature,0.062811
88,humidity,1.089173
89,pressure,0.084311
90,temperature,1.114199
91,humidity,0.104831
92,pressure,1.132881
93,temperature,0.133799
94,humidity,1.362612
95,pressure,0.382827
96,temperature,1.128556
97,humidity,0.124332
98,pressure,1.209746
99,temperature,0.21241
100,humidity,1.237491
101,pressure,0.230221
102,temperature,1.058527
103,humidity,0.054054
104,pressure,1.079401
105,temperature,0.081402
106,humidity,1.107364
107,pressure,0.099917
108,temperature,1.133189
109,humidity,0.128737
110,pressure,1.153118
111,temperature,0.152403
112,humidity,1.145219
113,pressure,0.138015
114,temperature,1.206093
115,humidity,0.202297
116,pressure,1.224669
117,temperature,0.226519
118,humidity,1.04891
119,pressure,0.047464
120,temperature,1.074484
121,humidity,0.073666
122,pressure,1.094117
123,temperature,0.093363
124,humidity,1.122853
125,pressure,0.120488
126,temperature,1.084755
127,humidity,0.079458
128,pressure,1.167979
129,temperature,0.169919
130,humidity,1.299063
131,pressure,0.319077
132,temperature,1.222641
133,humidity,0.216795
134,pressure,1.036078
135,temperature,0.038361
136,humidity,1.064686
137,pressure,0.057332
138,temperature,1.090159
139,humidity,0.086063
140,pressure,1.109515
141,temperature,0.111801
142,humidity,1.138227
143,pressure,0.131081
