,sensor_id,latency
0,temperature,0.042823
1,temperature,0.240412
2,temperature,0.236127
3,temperature,0.118158
4,humidity,0.040689
5,temperature,0.038738
6,pressure,0.041165
7,humidity,0.111191
8,temperature,0.110259
9,pressure,0.098443
10,humidity,0.131433
11,temperature,0.127828
12,pressure,0.116352
13,humidity,0.147932
14,temperature,0.145731
15,pressure,0.039877
16,humidity,0.063456
17,temperature,0.061833
18,pressure,0.049681
19,humidity,0.081725
20,temperature,0.047387
21,pressure,0.067909
22,temperature,0.038925
23,pressure,0.086092
24,humidity,0.038821
25,temperature,0.142842
26,pressure,0.03886
27,humidity,0.107456
28,temperature,0.041901
29,pressure,0.124765
30,humidity,0.187304
31,temperature,0.044545
32,pressure,0.040127
33,humidity,0.142962
34,temperature,0.04057
35,pressure,0.056658
36,humidity,0.058549
37,temperature,0.04031
38,pressure,0.074612
39,humidity,0.075994
40,temperature,0.13018
41,pressure,0.041176
42,humidity,0.093539
43,temperature,0.039492
44,pressure,0.110097
45,humidity,0.111701
46,temperature,0.04004
47,pressure,0.128107
48,humidity,0.129752
49,temperature,0.040673
50,pressure,0.145801
51,humidity,0.097732
52,temperature,0.041106
53,pressure,0.063873
54,humidity,0.164633
55,temperature,0.038699
56,pressure,0.078212
57,humidity,0.039232
58,temperature,0.04261
59,pressure,0.099182
60,humidity,0.104427
61,temperature,0.04002
62,pressure,0.113241
63,humidity,0.217525
64,temperature,0.075226
65,pressure,0.134543
66,humidity,0.234653
67,temperature,0.092598
68,pressure,0.042269
69,humidity,0.088056
70,temperature,0.042445
71,pressure,0.039651
72,humidity,0.064743
73,temperature,0.06434
74,pressure,0.080494
75,humidity,0.083027
76,temperature,0.137093
77,pressure,0.040979
78,humidity,0.100674
79,temperature,0.038771
80,pressure,0.038512
81,humidity,0.038743
82,temperature,0.041224
83,pressure,0.038979
84,humidity,0.138743
85,temperature,0.041602
86,pressure,0.050275
87,humidity,0.051112
88,temperature,0.067782
89,pressure,0.041493
90,humidity,0.068813
91,temperature,0.123644
92,pressure,0.041398
93,humidity,0.043978
94,temperature,0.141385
95,pressure,0.039645
96,humidity,0.20677
97,temperature,0.064515
98,pressure,0.120971
99,humidity,0.32757
100,temperature,0.187998
101,pressure,0.051017
102,humidity,0.04098
103,temperature,0.039794
104,pressure,0.053663
105,humidity,0.039148
106,temperature,0.041382
107,pressure,0.070783
108,humidity,0.04169
109,temperature,0.126219
110,pressure,0.041639
111,humidity,0.089261
112,temperature,0.041067
113,pressure,0.106094
114,humidity,0.106513
115,temperature,0.042406
116,pressure,0.12342
117,humidity,0.124551
118,temperature,0.04206
119,pressure,0.140547
120,humidity,0.141791
121,temperature,0.041684
122,pressure,0.055264
123,humidity,0.10389
124,temperature,0.038644
125,pressure,0.039502
126,humidity,0.177028
127,temperature,0.041422
128,pressure,0.091003
129,humidity,0.194594
130,temperature,0.058836
131,pressure,0.211132
132,humidity,0.112802
133,temperature,0.16426
134,pressure,0.038949
135,humidity,0.14155
136,temperature,0.045384
137,pressure,0.041333
138,humidity,0.146231
139,temperature,0.040453
140,pressure,0.162389
141,humidity,0.061036
142,temperature,0.218054
143,pressure,0.085305
144,humidity,0.180821
