Date 25.05.23, Time 15:45:37, Uptime:  15:45:37 up  3:03,  4 users,  load average: 0.03, 0.05, 0.01, Load average:  0.03, 0.05, 0.01, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.1%
Date 25.05.23, Time 15:46:38, Uptime:  15:46:37 up  3:04,  4 users,  load average: 0.01, 0.04, 0.01, Load average:  0.01, 0.04, 0.01, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.3%
Date 25.05.23, Time 15:47:38, Uptime:  15:47:38 up  3:05,  4 users,  load average: 0.00, 0.03, 0.00, Load average:  0.00, 0.03, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.4%
Date 25.05.23, Time 15:48:38, Uptime:  15:48:38 up  3:06,  4 users,  load average: 0.00, 0.02, 0.00, Load average:  0.00, 0.02, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 4.3%
Date 25.05.23, Time 15:49:38, Uptime:  15:49:38 up  3:07,  4 users,  load average: 0.00, 0.02, 0.00, Load average:  0.00, 0.02, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 15:50:39, Uptime:  15:50:39 up  3:08,  4 users,  load average: 0.04, 0.03, 0.00, Load average:  0.04, 0.03, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.4%
Date 25.05.23, Time 15:51:39, Uptime:  15:51:39 up  3:09,  4 users,  load average: 0.01, 0.02, 0.00, Load average:  0.01, 0.02, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 42.4°C, CPU_load: 5.4%
Date 25.05.23, Time 15:52:39, Uptime:  15:52:39 up  3:10,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 15:53:40, Uptime:  15:53:40 up  3:11,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=42.3'C, CPU_temp: 42.8°C, CPU_load: 6.4%
Date 25.05.23, Time 15:54:40, Uptime:  15:54:40 up  3:12,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.2%
Date 25.05.23, Time 15:55:40, Uptime:  15:55:40 up  3:13,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.2%
Date 25.05.23, Time 15:56:40, Uptime:  15:56:40 up  3:14,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.4°C, CPU_load: 6.4%
Date 25.05.23, Time 15:57:41, Uptime:  15:57:41 up  3:15,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.2%
Date 25.05.23, Time 15:58:41, Uptime:  15:58:41 up  3:16,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 6.4%
Date 25.05.23, Time 15:59:41, Uptime:  15:59:41 up  3:17,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 6.4%
Date 25.05.23, Time 16:00:42, Uptime:  16:00:42 up  3:18,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 6.4%
Date 25.05.23, Time 16:01:42, Uptime:  16:01:42 up  3:19,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 16:02:42, Uptime:  16:02:42 up  3:20,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 6.4%
Date 25.05.23, Time 16:03:43, Uptime:  16:03:43 up  3:21,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.2%
Date 25.05.23, Time 16:04:43, Uptime:  16:04:43 up  3:22,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.3'C, CPU_temp: 43.8°C, CPU_load: 6.4%
Date 25.05.23, Time 16:05:43, Uptime:  16:05:43 up  3:23,  4 users,  load average: 0.06, 0.03, 0.01, Load average:  0.06, 0.03, 0.01, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 5.3%
Date 25.05.23, Time 16:06:43, Uptime:  16:06:43 up  3:24,  4 users,  load average: 0.11, 0.06, 0.02, Load average:  0.11, 0.06, 0.02, GPU_temp=temp=42.8'C, CPU_temp: 43.3°C, CPU_load: 5.4%
Date 25.05.23, Time 16:07:44, Uptime:  16:07:44 up  3:25,  4 users,  load average: 0.04, 0.05, 0.01, Load average:  0.04, 0.05, 0.01, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.5%
Date 25.05.23, Time 16:08:44, Uptime:  16:08:44 up  3:27,  4 users,  load average: 0.01, 0.03, 0.00, Load average:  0.01, 0.03, 0.00, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 5.4%
Date 25.05.23, Time 16:09:44, Uptime:  16:09:44 up  3:28,  4 users,  load average: 0.00, 0.03, 0.00, Load average:  0.00, 0.03, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 4.1%
Date 25.05.23, Time 16:10:45, Uptime:  16:10:45 up  3:29,  4 users,  load average: 0.00, 0.02, 0.00, Load average:  0.00, 0.02, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 2.9%
Date 25.05.23, Time 16:11:45, Uptime:  16:11:45 up  3:30,  4 users,  load average: 0.04, 0.03, 0.00, Load average:  0.04, 0.03, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 4.2%
Date 25.05.23, Time 16:12:45, Uptime:  16:12:45 up  3:31,  4 users,  load average: 0.01, 0.02, 0.00, Load average:  0.01, 0.02, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.1%
Date 25.05.23, Time 16:13:46, Uptime:  16:13:45 up  3:32,  4 users,  load average: 0.00, 0.02, 0.00, Load average:  0.00, 0.02, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.4%
Date 25.05.23, Time 16:14:46, Uptime:  16:14:46 up  3:33,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.2%
