Date 25.05.23, Time 14:04:20, Uptime:  14:04:20 up  1:22,  4 users,  load average: 0.01, 0.01, 0.00, Load average:  0.01, 0.01, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 4.2%
Date 25.05.23, Time 14:04:45, Uptime:  14:04:45 up  1:23,  4 users,  load average: 0.01, 0.00, 0.00, Load average:  0.01, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.1%
Date 25.05.23, Time 14:05:45, Uptime:  14:05:45 up  1:24,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.2%
Date 25.05.23, Time 14:06:46, Uptime:  14:06:46 up  1:25,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=41.8'C, CPU_temp: 41.9°C, CPU_load: 5.2%
Date 25.05.23, Time 14:07:46, Uptime:  14:07:46 up  1:26,  4 users,  load average: 0.05, 0.01, 0.00, Load average:  0.05, 0.01, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.2%
Date 25.05.23, Time 14:08:46, Uptime:  14:08:46 up  1:27,  4 users,  load average: 0.20, 0.06, 0.01, Load average:  0.20, 0.06, 0.01, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 5.3%
Date 25.05.23, Time 14:09:47, Uptime:  14:09:47 up  1:28,  4 users,  load average: 0.07, 0.04, 0.01, Load average:  0.07, 0.04, 0.01, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 5.3%
Date 25.05.23, Time 14:10:47, Uptime:  14:10:47 up  1:29,  4 users,  load average: 0.02, 0.03, 0.00, Load average:  0.02, 0.03, 0.00, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 6.6%
Date 25.05.23, Time 14:11:47, Uptime:  14:11:47 up  1:30,  4 users,  load average: 0.01, 0.02, 0.00, Load average:  0.01, 0.02, 0.00, GPU_temp=temp=44.3'C, CPU_temp: 44.3°C, CPU_load: 4.1%
Date 25.05.23, Time 14:12:47, Uptime:  14:12:47 up  1:31,  4 users,  load average: 0.00, 0.02, 0.00, Load average:  0.00, 0.02, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 5.5%
Date 25.05.23, Time 14:13:48, Uptime:  14:13:48 up  1:32,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.1%
Date 25.05.23, Time 14:14:48, Uptime:  14:14:48 up  1:33,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 4.3%
Date 25.05.23, Time 14:15:48, Uptime:  14:15:48 up  1:34,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.3°C, CPU_load: 5.5%
Date 25.05.23, Time 14:16:49, Uptime:  14:16:49 up  1:35,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
