Date 25.05.23, Time 17:55:25, Uptime:  17:55:25 up  5:13,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 41.9°C, CPU_load: 5.2%
Date 25.05.23, Time 19:20:20, Uptime:  19:20:20 up 1 min,  3 users,  load average: 0.71, 0.39, 0.15, Load average:  0.71, 0.39, 0.15, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.1%
Date 25.05.23, Time 19:21:20, Uptime:  19:21:20 up 2 min,  3 users,  load average: 0.26, 0.31, 0.14, Load average:  0.26, 0.31, 0.14, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.3%
Date 25.05.23, Time 19:22:20, Uptime:  19:22:20 up 3 min,  3 users,  load average: 0.09, 0.25, 0.12, Load average:  0.09, 0.25, 0.12, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 4.1%
Date 25.05.23, Time 19:23:20, Uptime:  19:23:20 up 4 min,  3 users,  load average: 0.03, 0.21, 0.11, Load average:  0.03, 0.21, 0.11, GPU_temp=temp=44.3'C, CPU_temp: 43.8°C, CPU_load: 6.3%
Date 25.05.23, Time 19:24:21, Uptime:  19:24:21 up 5 min,  3 users,  load average: 0.01, 0.17, 0.10, Load average:  0.01, 0.17, 0.10, GPU_temp=temp=43.8'C, CPU_temp: 44.3°C, CPU_load: 5.2%
Date 25.05.23, Time 19:25:21, Uptime:  19:25:21 up 6 min,  3 users,  load average: 0.00, 0.13, 0.09, Load average:  0.00, 0.13, 0.09, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.3%
Date 25.05.23, Time 19:26:21, Uptime:  19:26:21 up 7 min,  3 users,  load average: 0.00, 0.11, 0.08, Load average:  0.00, 0.11, 0.08, GPU_temp=temp=43.8'C, CPU_temp: 42.8°C, CPU_load: 4%
Date 25.05.23, Time 19:27:22, Uptime:  19:27:22 up 8 min,  3 users,  load average: 0.00, 0.08, 0.08, Load average:  0.00, 0.08, 0.08, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 5.5%
Date 25.05.23, Time 19:28:22, Uptime:  19:28:22 up 9 min,  3 users,  load average: 0.00, 0.07, 0.07, Load average:  0.00, 0.07, 0.07, GPU_temp=temp=43.3'C, CPU_temp: 44.3°C, CPU_load: 5.4%
Date 25.05.23, Time 19:29:22, Uptime:  19:29:22 up 10 min,  3 users,  load average: 0.07, 0.07, 0.07, Load average:  0.07, 0.07, 0.07, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 4.1%
Date 25.05.23, Time 19:30:23, Uptime:  19:30:22 up 11 min,  3 users,  load average: 0.02, 0.05, 0.07, Load average:  0.02, 0.05, 0.07, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 5.3%
Date 25.05.23, Time 19:31:23, Uptime:  19:31:23 up 12 min,  3 users,  load average: 0.01, 0.04, 0.06, Load average:  0.01, 0.04, 0.06, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.2%
Date 25.05.23, Time 19:32:23, Uptime:  19:32:23 up 13 min,  3 users,  load average: 0.00, 0.03, 0.05, Load average:  0.00, 0.03, 0.05, GPU_temp=temp=41.8'C, CPU_temp: 41.9°C, CPU_load: 4.1%
Date 25.05.23, Time 19:33:23, Uptime:  19:33:23 up 14 min,  3 users,  load average: 0.00, 0.02, 0.05, Load average:  0.00, 0.02, 0.05, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.2%
Date 25.05.23, Time 19:34:24, Uptime:  19:34:24 up 15 min,  3 users,  load average: 0.00, 0.02, 0.04, Load average:  0.00, 0.02, 0.04, GPU_temp=temp=42.3'C, CPU_temp: 41.4°C, CPU_load: 4.1%
Date 25.05.23, Time 19:35:24, Uptime:  19:35:24 up 16 min,  3 users,  load average: 0.00, 0.01, 0.04, Load average:  0.00, 0.01, 0.04, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.2%
Date 25.05.23, Time 19:36:24, Uptime:  19:36:24 up 17 min,  3 users,  load average: 0.00, 0.01, 0.03, Load average:  0.00, 0.01, 0.03, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 4.1%
Date 25.05.23, Time 19:37:25, Uptime:  19:37:25 up 18 min,  3 users,  load average: 0.00, 0.00, 0.02, Load average:  0.00, 0.00, 0.02, GPU_temp=temp=41.8'C, CPU_temp: 42.4°C, CPU_load: 5.4%
