,sensor_id,latency
0,temperature,0.253222
1,temperature,0.244581
2,temperature,0.150035
3,temperature,0.149979
4,temperature,0.240149
5,temperature,0.059148
6,temperature,0.043498
7,temperature,0.052022
8,temperature,0.252577
9,temperature,0.052341
10,temperature,0.250698
11,temperature,0.149872
12,temperature,0.150198
13,temperature,0.048547
14,temperature,0.254136
15,temperature,0.04909
16,temperature,0.256239
17,temperature,0.251003
18,temperature,0.251559
19,temperature,0.14855
20,temperature,0.151304
21,temperature,0.251616
22,temperature,0.048671
23,temperature,0.257298
24,temperature,0.252183
25,temperature,0.248677
26,temperature,0.258665
27,temperature,0.043181
28,temperature,0.25212
29,temperature,0.249518
30,temperature,0.055352
31,temperature,0.132722
32,temperature,0.148467
33,temperature,0.254603
34,temperature,0.249717
35,temperature,0.255015
36,temperature,0.149504
37,temperature,0.149223
38,temperature,0.251386
39,temperature,0.045619
40,temperature,0.249511
41,temperature,0.250417
42,temperature,0.252493
43,temperature,0.252062
44,temperature,0.086796
45,temperature,0.185855
46,temperature,0.041092
47,temperature,0.041546
48,temperature,0.041374
49,temperature,0.062283
50,temperature,0.251099
51,temperature,0.247563
52,temperature,0.249422
53,temperature,0.250895
54,temperature,0.248564
55,temperature,0.249679
56,temperature,0.145705
57,temperature,0.101551
58,temperature,0.087756
59,temperature,0.041243
60,temperature,0.050023
61,temperature,0.252554
62,temperature,0.247882
63,temperature,0.251252
64,temperature,0.250204
65,temperature,0.249345
66,temperature,0.249654
67,temperature,0.249956
68,temperature,0.251755
69,temperature,0.14699
70,temperature,0.148227
71,temperature,0.249926
72,temperature,0.249676
73,temperature,0.046647
74,temperature,0.147926
75,temperature,0.093326
76,temperature,0.099079
77,temperature,0.196307
78,temperature,0.098969
79,temperature,0.143316
80,temperature,0.162246
81,temperature,0.080466
82,temperature,0.143444
83,temperature,0.232921
84,temperature,0.04033
85,temperature,0.049097
86,temperature,0.045464
87,temperature,0.136455
88,temperature,0.159285
89,temperature,0.258974
90,temperature,0.243387
91,temperature,0.146052
92,temperature,0.040032
93,temperature,0.048026
94,temperature,0.145525
95,temperature,0.040284
96,temperature,0.254882
97,temperature,0.040049
98,temperature,0.038201
99,temperature,0.039826
100,temperature,0.060752
101,temperature,0.244787
102,temperature,0.249155
103,temperature,0.247296
104,temperature,0.045557
105,temperature,0.037943
106,temperature,0.053638
107,temperature,0.146557
108,temperature,0.037234
109,temperature,0.109501
110,temperature,0.037529
111,temperature,0.199719
112,temperature,0.148291
113,temperature,0.03951
114,temperature,0.047969
115,temperature,0.249469
116,temperature,0.248958
117,temperature,0.24931
118,temperature,0.248691
119,temperature,0.039741
120,temperature,0.050326
121,temperature,0.245229
122,temperature,0.042136
123,temperature,0.042693
124,temperature,0.04491
125,temperature,0.252612
126,temperature,0.246541
127,temperature,0.248259
128,temperature,0.24905
129,temperature,0.147258
130,temperature,0.145914
131,temperature,0.248083
132,temperature,0.250086
133,temperature,0.251138
134,temperature,0.18421
135,temperature,0.25293
136,temperature,0.166338
137,temperature,0.246409
138,temperature,0.147603
139,temperature,0.146049
140,temperature,0.251658
141,temperature,0.246286
142,temperature,0.038007
143,temperature,0.038658
144,temperature,0.047357
145,temperature,0.244266
146,temperature,0.248727
147,temperature,0.112483
148,temperature,0.077832
149,temperature,0.148345
150,temperature,0.245486
151,temperature,0.250534
152,temperature,0.037501
153,temperature,0.039485
154,temperature,0.051255
155,temperature,0.247217
156,temperature,0.34924
157,temperature,0.036238
158,temperature,0.153689
159,temperature,0.249754
160,temperature,0.24699
161,temperature,0.247532
162,temperature,0.247522
163,temperature,0.044051
164,temperature,0.251537
165,temperature,0.036249
166,temperature,0.254279
167,temperature,0.248058
168,temperature,0.042584
169,temperature,0.247302
170,temperature,0.243802
171,temperature,0.248106
172,temperature,0.248934
173,temperature,0.249991
174,temperature,0.241092
175,temperature,0.043644
176,temperature,0.044473
177,temperature,0.246821
178,temperature,0.243776
179,temperature,0.245247
180,temperature,0.248356
181,temperature,0.247837
182,temperature,0.045408
183,temperature,0.037731
184,temperature,0.050691
185,temperature,0.242231
186,temperature,0.222936
187,temperature,0.148593
188,temperature,0.195699
189,temperature,0.246401
190,temperature,0.243604
191,temperature,0.247978
192,temperature,0.246506
193,temperature,0.248072
194,temperature,0.244941
195,temperature,0.144629
196,temperature,0.144178
197,temperature,0.102858
198,temperature,0.188095
199,temperature,0.24681
200,temperature,0.247362
201,temperature,0.246521
202,temperature,0.141316
203,temperature,0.145876
204,temperature,0.245281
205,temperature,0.246504
206,temperature,0.246306
207,temperature,0.249854
208,temperature,0.243945
209,temperature,0.247959
210,temperature,0.24781
211,temperature,0.145215
212,temperature,0.148385
213,temperature,0.141756
214,temperature,0.145744
215,temperature,0.249732
216,temperature,0.246423
217,temperature,0.143833
218,temperature,0.144378
219,temperature,0.046961
220,temperature,0.244707
221,temperature,0.247718
222,temperature,0.050738
223,temperature,0.241519
224,temperature,0.249463
225,temperature,0.244584
226,temperature,0.24561
227,temperature,0.142629
228,temperature,0.14335
229,temperature,0.246222
230,temperature,0.245257
231,temperature,0.244595
232,temperature,0.04219
233,temperature,0.246156
234,temperature,0.178779
235,temperature,0.108397
236,temperature,0.248024
237,temperature,0.093015
238,temperature,0.144012
239,temperature,0.242884
240,temperature,0.14484
241,temperature,0.268812
242,temperature,0.123449
243,temperature,0.145324
244,temperature,0.14474
245,temperature,0.042967
246,temperature,0.044581
247,temperature,0.143526
248,temperature,0.139594
249,temperature,0.245581
250,temperature,0.142592
251,temperature,0.042439
252,temperature,0.0361
253,temperature,0.036656
254,temperature,0.144275
255,temperature,0.035548
256,temperature,0.049297
257,temperature,0.249197
258,temperature,0.24444
259,temperature,0.243259
260,temperature,0.245531
261,temperature,0.243798
262,temperature,0.245218
263,temperature,0.244287
264,temperature,0.142958
265,temperature,0.14263
266,temperature,0.045227
267,temperature,0.034034
268,temperature,0.146126
269,temperature,0.238892
270,temperature,0.046404
271,temperature,0.093705
272,temperature,0.09186
273,temperature,0.246697
274,temperature,0.246651
275,temperature,0.244426
276,temperature,0.244857
277,temperature,0.245067
278,temperature,0.143883
