,sensor_id,latency
0,temperature,1.273274
1,humidity,0.265989
2,temperature,0.249086
3,humidity,1.075099
4,temperature,0.074083
5,humidity,1.071848
6,temperature,0.068987
7,humidity,1.072611
8,temperature,0.071191
9,humidity,1.155377
10,temperature,0.156484
11,humidity,1.191193
12,temperature,0.217261
13,humidity,1.070012
14,temperature,0.068992
15,humidity,1.071582
16,temperature,0.069989
17,humidity,1.070145
18,temperature,0.06854
19,humidity,1.069132
20,temperature,0.069795
21,humidity,1.070519
22,temperature,0.069087
23,humidity,1.071765
24,temperature,0.070199
25,humidity,1.068855
26,temperature,0.066877
27,humidity,1.072618
28,temperature,0.069833
29,humidity,1.165843
30,temperature,0.193005
31,humidity,1.172353
32,temperature,0.17005
33,humidity,1.069776
34,temperature,0.067839
35,humidity,1.070231
36,temperature,0.068696
37,humidity,1.069627
38,temperature,0.066394
39,humidity,1.068767
40,temperature,0.069948
41,humidity,1.123611
42,temperature,0.149434
43,humidity,1.222071
44,temperature,0.220401
45,humidity,1.068967
46,temperature,0.066253
47,humidity,1.0697
48,temperature,0.068085
49,humidity,1.072364
50,temperature,0.0725
51,humidity,0.04186
52,temperature,1.081625
53,humidity,0.079551
54,temperature,1.067968
55,humidity,0.062433
56,temperature,1.070629
57,humidity,0.06363
58,temperature,1.073367
59,humidity,0.068614
60,temperature,1.070906
61,humidity,0.066507
62,temperature,1.069975
63,humidity,0.066354
64,temperature,1.073502
65,humidity,0.069125
66,temperature,1.070835
67,humidity,0.062741
68,temperature,1.074105
69,humidity,0.072954
70,temperature,1.071243
71,humidity,0.069668
72,temperature,1.067457
73,humidity,0.063407
74,temperature,1.073184
75,humidity,0.068915
76,temperature,1.071066
77,humidity,0.067293
78,temperature,1.07395
79,humidity,0.069057
80,temperature,1.073937
81,humidity,0.071498
82,temperature,1.070966
83,humidity,0.066212
84,temperature,1.070574
85,humidity,0.065132
86,temperature,1.070563
87,humidity,0.0652
88,temperature,1.072394
89,humidity,0.06752
90,temperature,1.075644
91,humidity,0.068022
92,temperature,1.07018
93,humidity,0.065221
94,temperature,1.074011
95,humidity,0.069886
96,temperature,1.071181
97,humidity,0.067697
98,temperature,1.068163
99,humidity,0.060781
100,temperature,1.075327
101,humidity,0.266012
102,temperature,1.168816
103,humidity,0.166342
104,temperature,1.076482
105,humidity,0.071332
106,temperature,1.071271
107,humidity,0.067067
108,temperature,1.072125
109,humidity,0.066302
110,temperature,0.250397
111,humidity,1.058261
112,temperature,0.056004
113,humidity,1.092133
114,temperature,0.117187
115,humidity,1.071169
116,temperature,0.069098
117,humidity,1.072828
118,temperature,0.070723
119,humidity,1.073046
120,temperature,0.072971
121,humidity,1.069917
122,temperature,0.068416
123,humidity,1.274758
124,temperature,0.300673
125,humidity,1.072933
126,temperature,0.071535
127,humidity,1.072845
128,temperature,0.071426
129,humidity,1.069807
130,temperature,0.071
131,humidity,1.073878
132,temperature,0.072617
133,humidity,1.066641
134,temperature,0.064993
135,humidity,1.071016
136,temperature,0.068829
137,humidity,1.078418
138,temperature,0.07998
139,humidity,1.27161
140,temperature,0.274682
141,humidity,1.071021
142,temperature,0.069174
143,humidity,1.068548
144,temperature,0.065745
145,humidity,1.072294
146,temperature,0.070288
147,humidity,1.070668
148,temperature,0.068106
149,humidity,1.0724
150,temperature,0.073622
151,humidity,1.067007
152,temperature,0.065211
153,humidity,1.068435
154,temperature,0.065814
155,humidity,1.068753
156,temperature,0.067209
157,humidity,1.276755
158,temperature,0.341166
159,humidity,1.205642
160,temperature,0.211413
161,humidity,1.06105
162,temperature,0.059076
163,humidity,1.071106
164,temperature,0.069137
165,humidity,1.071498
166,temperature,0.069637
167,humidity,1.071496
168,temperature,0.069531
169,humidity,1.071112
170,temperature,0.072079
171,humidity,1.068663
172,temperature,0.066779
173,humidity,1.064935
174,temperature,0.062829
175,humidity,1.052495
176,temperature,0.049984
177,humidity,1.087138
178,temperature,0.112686
179,humidity,1.066863
180,temperature,0.071291
181,humidity,1.069626
182,temperature,0.067666
183,humidity,1.069702
184,temperature,0.067551
185,humidity,1.066289
186,temperature,0.064111
187,humidity,1.068766
188,temperature,0.066753
189,humidity,1.06895
190,temperature,0.06979
191,humidity,1.073119
192,temperature,0.071149
193,humidity,1.062311
194,temperature,0.060633
195,humidity,1.068159
196,temperature,0.065887
197,humidity,1.071218
198,temperature,0.069323
199,humidity,1.066051
200,temperature,0.067254
201,humidity,1.068893
202,temperature,0.066875
203,humidity,1.067944
204,temperature,0.066201
205,humidity,1.068636
206,temperature,0.063846
207,humidity,1.064242
208,temperature,0.061286
209,humidity,1.067974
210,temperature,0.068422
211,humidity,1.062862
212,temperature,0.060756
213,humidity,1.047887
214,temperature,0.046165
215,humidity,1.085842
216,temperature,0.110772
217,humidity,1.268674
218,temperature,0.332442
219,humidity,1.303468
220,temperature,0.335124
221,humidity,1.169812
222,temperature,0.168035
223,humidity,1.068125
224,temperature,0.066467
225,humidity,1.081265
226,temperature,0.079394
227,humidity,1.05557
228,temperature,0.053885
229,humidity,1.069711
230,temperature,0.069765
231,humidity,1.065548
232,temperature,0.064561
233,humidity,1.065414
234,temperature,0.063535
235,humidity,1.067927
236,temperature,0.065935
237,humidity,1.065532
238,temperature,0.064226
239,humidity,1.065518
240,temperature,0.067072
241,humidity,1.066043
242,temperature,0.06409
243,humidity,1.067767
244,temperature,0.065989
245,humidity,1.066367
246,temperature,0.064634
247,humidity,1.06568
248,temperature,0.063878
249,humidity,1.067363
250,temperature,0.069061
251,humidity,1.065961
252,temperature,0.065031
253,humidity,1.065285
254,temperature,0.068112
255,humidity,1.060122
256,temperature,0.057916
257,humidity,1.068661
258,temperature,0.067811
259,humidity,1.062112
260,temperature,0.066615
261,humidity,1.06503
262,temperature,0.062895
263,humidity,1.068191
264,temperature,0.071341
265,humidity,1.062754
266,temperature,0.062779
267,humidity,1.057297
268,temperature,0.05481
269,humidity,1.066181
270,temperature,0.06705
271,humidity,1.045591
272,temperature,0.043361
273,humidity,1.088349
274,temperature,0.113332
275,humidity,1.262665
276,temperature,0.33221
277,humidity,1.195094
278,temperature,0.193022
279,humidity,1.065398
280,temperature,0.067072
281,humidity,1.061987
282,temperature,0.060144
283,humidity,1.06323
284,temperature,0.061062
285,humidity,0.043932
286,temperature,1.079934
287,humidity,0.076176
288,temperature,1.266971
289,humidity,0.262635
290,temperature,1.064504
291,humidity,0.060337
292,temperature,1.064333
293,humidity,0.060053
294,temperature,1.064827
295,humidity,0.061379
296,temperature,1.066314
297,humidity,0.061408
298,temperature,1.065769
299,humidity,0.065043
300,temperature,1.066211
301,humidity,0.061953
302,temperature,1.066108
303,humidity,0.060164
304,temperature,1.066347
305,humidity,0.06205
306,temperature,1.06567
307,humidity,0.06144
308,temperature,1.0451
309,humidity,0.040818
310,temperature,1.08542
311,humidity,0.080772
312,temperature,1.065049
313,humidity,0.060695
314,temperature,1.062112
315,humidity,0.057883
316,temperature,1.062706
317,humidity,0.056842
318,temperature,1.061331
319,humidity,0.056542
320,temperature,1.064046
321,humidity,0.060089
322,temperature,1.064453
323,humidity,0.065971
324,temperature,1.063313
325,humidity,0.05861
326,temperature,1.063811
327,humidity,0.057202
328,temperature,1.062846
329,humidity,0.063271
330,temperature,1.044618
331,humidity,0.040648
332,temperature,1.083637
333,humidity,0.275576
334,temperature,1.152951
335,humidity,0.148728
336,temperature,1.061381
337,humidity,0.057322
338,temperature,1.062239
339,humidity,0.060189
340,temperature,1.0593
341,humidity,0.054825
342,temperature,1.06443
343,humidity,0.05929
344,temperature,0.241178
345,humidity,1.281445
346,temperature,0.279905
347,humidity,1.055966
348,temperature,0.054446
349,humidity,1.062549
350,temperature,0.063876
351,humidity,1.062651
352,temperature,0.060835
353,humidity,1.044015
354,temperature,0.042756
355,humidity,1.078105
356,temperature,0.103447
357,humidity,1.064251
358,temperature,0.061714
359,humidity,1.060281
360,temperature,0.063518
361,humidity,1.058996
362,temperature,0.059151
363,humidity,1.058606
364,temperature,0.056781
365,humidity,1.063385
366,temperature,0.061441
367,humidity,1.059243
368,temperature,0.056943
369,humidity,1.060935
370,temperature,0.062251
371,humidity,1.060508
372,temperature,0.058769
373,humidity,1.062156
374,temperature,0.060294
375,humidity,1.061456
376,temperature,0.059326
377,humidity,1.061283
378,temperature,0.059297
379,humidity,1.061579
380,temperature,0.066186
381,humidity,1.061702
382,temperature,0.059428
383,humidity,1.057285
384,temperature,0.055739
385,humidity,1.061403
386,temperature,0.059694
387,humidity,1.062782
388,temperature,0.060748
389,humidity,1.088872
390,temperature,0.118266
391,humidity,1.233265
392,temperature,0.284688
393,humidity,1.207708
394,temperature,0.206692
395,humidity,1.057362
396,temperature,0.055122
397,humidity,1.060945
398,temperature,0.059009
399,humidity,1.059831
400,temperature,0.06192
401,humidity,1.059198
402,temperature,0.053889
403,humidity,0.241702
404,temperature,1.074074
