,sensor_id,latency
0,pressure,0.01411
1,pressure,0.221714
2,pressure,0.037122
3,pressure,0.050218
4,pressure,0.01233
5,pressure,0.085505
6,pressure,0.102683
7,pressure,0.122681
8,pressure,0.13902
9,pressure,0.054026
10,pressure,0.176001
11,pressure,0.014864
12,pressure,0.20974
13,pressure,0.025128
14,pressure,0.047245
15,pressure,0.058324
16,pressure,0.077936
17,pressure,0.098104
18,pressure,0.111611
19,pressure,0.015544
20,pressure,0.044692
21,pressure,0.164854
22,pressure,0.08
23,pressure,0.097587
24,pressure,0.320095
25,pressure,0.137198
26,pressure,0.013319
27,pressure,0.066588
28,pressure,0.085564
29,pressure,0.086995
30,pressure,0.119704
31,pressure,0.034948
32,pressure,0.052756
33,pressure,0.17284
34,pressure,0.190357
35,pressure,0.208974
36,pressure,0.225891
37,pressure,0.040913
38,pressure,0.057198
39,pressure,0.074919
40,pressure,0.092304
41,pressure,0.110237
42,pressure,0.128212
43,pressure,0.145486
44,pressure,0.163153
45,pressure,0.181069
46,pressure,0.198924
47,pressure,0.21636
48,pressure,0.029256
49,pressure,0.013355
50,pressure,0.064773
51,pressure,0.082533
52,pressure,0.100261
53,pressure,0.1176
54,pressure,0.135624
55,pressure,0.15343
56,pressure,0.068614
57,pressure,0.125165
58,pressure,0.206732
59,pressure,0.045236
60,pressure,0.037367
61,pressure,0.055248
62,pressure,0.075454
63,pressure,0.093422
64,pressure,0.110512
65,pressure,0.024092
66,pressure,0.144171
67,pressure,0.059378
68,pressure,0.17925
69,pressure,0.197131
70,pressure,0.112405
71,pressure,0.027706
72,pressure,0.045251
73,pressure,0.063049
74,pressure,0.013116
75,pressure,0.099846
76,pressure,0.116419
77,pressure,0.134217
78,pressure,0.013639
79,pressure,0.169641
80,pressure,0.015534
81,pressure,0.205527
82,pressure,0.223041
83,pressure,0.013604
84,pressure,0.053727
85,pressure,0.01945
86,pressure,0.089444
87,pressure,0.107516
88,pressure,0.125252
89,pressure,0.14369
90,pressure,0.058137
91,pressure,0.178081
