Date 27.05.23, Time 20:07:23, Uptime:  20:07:23 up 2 min,  4 users,  load average: 0.24, 0.35, 0.16, Load average:  0.24, 0.35, 0.16, GPU_temp=temp=51.1'C, CPU_temp: 50.6°C, CPU_load: 6.3%
Date 27.05.23, Time 20:08:24, Uptime:  20:08:24 up 3 min,  4 users,  load average: 0.12, 0.30, 0.15, Load average:  0.12, 0.30, 0.15, GPU_temp=temp=51.6'C, CPU_temp: 52.6°C, CPU_load: 5.3%
Date 27.05.23, Time 20:09:24, Uptime:  20:09:24 up 4 min,  4 users,  load average: 0.04, 0.24, 0.14, Load average:  0.04, 0.24, 0.14, GPU_temp=temp=52.5'C, CPU_temp: 52.6°C, CPU_load: 2.9%
Date 27.05.23, Time 20:10:24, Uptime:  20:10:24 up 5 min,  4 users,  load average: 0.01, 0.20, 0.13, Load average:  0.01, 0.20, 0.13, GPU_temp=temp=52.1'C, CPU_temp: 52.1°C, CPU_load: 4.1%
Date 27.05.23, Time 20:11:24, Uptime:  20:11:24 up 6 min,  4 users,  load average: 0.09, 0.19, 0.13, Load average:  0.09, 0.19, 0.13, GPU_temp=temp=53.0'C, CPU_temp: 53.6°C, CPU_load: 5.2%
Date 27.05.23, Time 20:12:25, Uptime:  20:12:25 up 7 min,  4 users,  load average: 0.03, 0.15, 0.12, Load average:  0.03, 0.15, 0.12, GPU_temp=temp=53.0'C, CPU_temp: 53.6°C, CPU_load: 5.2%
Date 27.05.23, Time 20:13:25, Uptime:  20:13:25 up 8 min,  4 users,  load average: 0.01, 0.12, 0.10, Load average:  0.01, 0.12, 0.10, GPU_temp=temp=53.0'C, CPU_temp: 53.1°C, CPU_load: 5.1%
Date 27.05.23, Time 20:14:25, Uptime:  20:14:25 up 9 min,  4 users,  load average: 0.07, 0.11, 0.10, Load average:  0.07, 0.11, 0.10, GPU_temp=temp=53.0'C, CPU_temp: 53.1°C, CPU_load: 5.2%
Date 27.05.23, Time 20:15:26, Uptime:  20:15:26 up 10 min,  4 users,  load average: 0.06, 0.10, 0.09, Load average:  0.06, 0.10, 0.09, GPU_temp=temp=52.1'C, CPU_temp: 52.6°C, CPU_load: 5.2%
Date 27.05.23, Time 20:16:26, Uptime:  20:16:26 up 11 min,  4 users,  load average: 0.02, 0.08, 0.09, Load average:  0.02, 0.08, 0.09, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 5.3%
Date 27.05.23, Time 20:17:26, Uptime:  20:17:26 up 12 min,  4 users,  load average: 0.01, 0.06, 0.08, Load average:  0.01, 0.06, 0.08, GPU_temp=temp=51.6'C, CPU_temp: 52.6°C, CPU_load: 4.1%
Date 27.05.23, Time 20:18:27, Uptime:  20:18:27 up 13 min,  4 users,  load average: 0.00, 0.05, 0.07, Load average:  0.00, 0.05, 0.07, GPU_temp=temp=51.1'C, CPU_temp: 52.6°C, CPU_load: 4.1%
Date 27.05.23, Time 20:19:27, Uptime:  20:19:27 up 14 min,  4 users,  load average: 0.04, 0.05, 0.07, Load average:  0.04, 0.05, 0.07, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 2.9%
Date 27.05.23, Time 20:20:27, Uptime:  20:20:27 up 15 min,  4 users,  load average: 0.01, 0.04, 0.07, Load average:  0.01, 0.04, 0.07, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 6.8%
Date 27.05.23, Time 20:21:27, Uptime:  20:21:27 up 16 min,  4 users,  load average: 0.00, 0.03, 0.06, Load average:  0.00, 0.03, 0.06, GPU_temp=temp=51.6'C, CPU_temp: 52.1°C, CPU_load: 7.6%
Date 27.05.23, Time 20:22:28, Uptime:  20:22:28 up 17 min,  4 users,  load average: 0.07, 0.04, 0.06, Load average:  0.07, 0.04, 0.06, GPU_temp=temp=52.1'C, CPU_temp: 51.6°C, CPU_load: 8.8%
Date 27.05.23, Time 20:23:28, Uptime:  20:23:28 up 18 min,  4 users,  load average: 0.02, 0.03, 0.06, Load average:  0.02, 0.03, 0.06, GPU_temp=temp=51.6'C, CPU_temp: 52.1°C, CPU_load: 5.2%
Date 27.05.23, Time 20:24:28, Uptime:  20:24:28 up 19 min,  4 users,  load average: 0.01, 0.02, 0.05, Load average:  0.01, 0.02, 0.05, GPU_temp=temp=52.1'C, CPU_temp: 51.6°C, CPU_load: 5.2%
