Date 25.05.23, Time 14:37:47, Uptime:  14:37:47 up  1:56,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.8°C, CPU_load: 4.1%
Date 25.05.23, Time 14:38:47, Uptime:  14:38:47 up  1:57,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.2%
Date 25.05.23, Time 14:39:47, Uptime:  14:39:47 up  1:58,  4 users,  load average: 0.04, 0.01, 0.00, Load average:  0.04, 0.01, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 5.2%
Date 25.05.23, Time 14:40:47, Uptime:  14:40:47 up  1:59,  4 users,  load average: 0.13, 0.05, 0.01, Load average:  0.13, 0.05, 0.01, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 5.3%
Date 25.05.23, Time 14:41:48, Uptime:  14:41:48 up  2:00,  4 users,  load average: 0.05, 0.04, 0.01, Load average:  0.05, 0.04, 0.01, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.5%
Date 25.05.23, Time 14:42:48, Uptime:  14:42:48 up  2:01,  4 users,  load average: 0.02, 0.03, 0.00, Load average:  0.02, 0.03, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 4.1%
Date 25.05.23, Time 14:43:48, Uptime:  14:43:48 up  2:02,  4 users,  load average: 0.00, 0.02, 0.00, Load average:  0.00, 0.02, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 42.8°C, CPU_load: 4.1%
Date 25.05.23, Time 14:44:49, Uptime:  14:44:49 up  2:03,  4 users,  load average: 0.00, 0.02, 0.00, Load average:  0.00, 0.02, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.8°C, CPU_load: 4.1%
Date 25.05.23, Time 14:45:49, Uptime:  14:45:49 up  2:04,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.5%
Date 25.05.23, Time 14:46:49, Uptime:  14:46:49 up  2:05,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 5.2%
Date 25.05.23, Time 14:47:50, Uptime:  14:47:49 up  2:06,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.8°C, CPU_load: 5.4%
Date 25.05.23, Time 14:48:50, Uptime:  14:48:50 up  2:07,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.2%
Date 25.05.23, Time 14:49:50, Uptime:  14:49:50 up  2:08,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.3°C, CPU_load: 2.8%
Date 25.05.23, Time 14:50:50, Uptime:  14:50:50 up  2:09,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 4.2%
Date 25.05.23, Time 14:51:51, Uptime:  14:51:51 up  2:10,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 42.8°C, CPU_load: 5.2%
Date 25.05.23, Time 14:52:51, Uptime:  14:52:51 up  2:11,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.8°C, CPU_load: 5.5%
Date 25.05.23, Time 14:53:51, Uptime:  14:53:51 up  2:12,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.3°C, CPU_load: 4.1%
Date 25.05.23, Time 14:54:52, Uptime:  14:54:52 up  2:13,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 4.1%
Date 25.05.23, Time 14:55:52, Uptime:  14:55:52 up  2:14,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=44.3'C, CPU_temp: 43.8°C, CPU_load: 5.5%
Date 25.05.23, Time 14:56:52, Uptime:  14:56:52 up  2:15,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.8°C, CPU_load: 5.3%
Date 25.05.23, Time 14:57:52, Uptime:  14:57:52 up  2:16,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.2%
Date 25.05.23, Time 14:58:53, Uptime:  14:58:53 up  2:17,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.1%
Date 25.05.23, Time 14:59:53, Uptime:  14:59:53 up  2:18,  4 users,  load average: 0.03, 0.01, 0.00, Load average:  0.03, 0.01, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.3°C, CPU_load: 5.5%
Date 25.05.23, Time 15:00:53, Uptime:  15:00:53 up  2:19,  4 users,  load average: 0.01, 0.01, 0.00, Load average:  0.01, 0.01, 0.00, GPU_temp=temp=41.8'C, CPU_temp: 41.9°C, CPU_load: 5.5%
Date 25.05.23, Time 15:01:54, Uptime:  15:01:54 up  2:20,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 4.1%
