Date 25.05.23, Time 13:30:28, Uptime:  13:30:28 up 48 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.4%
Date 25.05.23, Time 13:30:52, Uptime:  13:30:52 up 49 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.3%
Date 25.05.23, Time 13:31:52, Uptime:  13:31:52 up 50 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.8°C, CPU_load: 4.1%
Date 25.05.23, Time 13:32:53, Uptime:  13:32:53 up 51 min,  4 users,  load average: 0.06, 0.02, 0.00, Load average:  0.06, 0.02, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.3°C, CPU_load: 4.1%
Date 25.05.23, Time 13:33:53, Uptime:  13:33:53 up 52 min,  4 users,  load average: 0.02, 0.01, 0.00, Load average:  0.02, 0.01, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.3°C, CPU_load: 5.5%
Date 25.05.23, Time 13:34:53, Uptime:  13:34:53 up 53 min,  4 users,  load average: 0.01, 0.00, 0.00, Load average:  0.01, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.3%
Date 25.05.23, Time 13:35:54, Uptime:  13:35:54 up 54 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.3°C, CPU_load: 6.5%
Date 25.05.23, Time 13:36:54, Uptime:  13:36:54 up 55 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=41.8'C, CPU_temp: 42.8°C, CPU_load: 4.1%
Date 25.05.23, Time 13:37:54, Uptime:  13:37:54 up 56 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 44.3°C, CPU_load: 4.1%
Date 25.05.23, Time 13:38:54, Uptime:  13:38:54 up 57 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 5.2%
Date 25.05.23, Time 13:39:55, Uptime:  13:39:55 up 58 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 13:40:55, Uptime:  13:40:55 up 59 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 42.8°C, CPU_load: 5.2%
Date 25.05.23, Time 13:41:55, Uptime:  13:41:55 up  1:00,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.4%
Date 25.05.23, Time 13:42:56, Uptime:  13:42:56 up  1:01,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.2%
Date 25.05.23, Time 13:43:56, Uptime:  13:43:56 up  1:02,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.5%
Date 25.05.23, Time 13:44:56, Uptime:  13:44:56 up  1:03,  4 users,  load average: 0.13, 0.03, 0.01, Load average:  0.13, 0.03, 0.01, GPU_temp=temp=41.8'C, CPU_temp: 42.4°C, CPU_load: 6.5%
Date 25.05.23, Time 13:45:57, Uptime:  13:45:57 up  1:04,  4 users,  load average: 0.05, 0.02, 0.00, Load average:  0.05, 0.02, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.4%
Date 25.05.23, Time 13:46:57, Uptime:  13:46:57 up  1:05,  4 users,  load average: 0.01, 0.02, 0.00, Load average:  0.01, 0.02, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.1%
Date 25.05.23, Time 13:47:57, Uptime:  13:47:57 up  1:06,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.4%
Date 25.05.23, Time 13:48:57, Uptime:  13:48:57 up  1:07,  4 users,  load average: 0.04, 0.02, 0.00, Load average:  0.04, 0.02, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 5.3%
Date 25.05.23, Time 13:49:58, Uptime:  13:49:58 up  1:08,  4 users,  load average: 0.01, 0.02, 0.00, Load average:  0.01, 0.02, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 2.9%
Date 25.05.23, Time 13:50:58, Uptime:  13:50:58 up  1:09,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.1%
Date 25.05.23, Time 13:51:58, Uptime:  13:51:58 up  1:10,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 5.2%
Date 25.05.23, Time 13:52:59, Uptime:  13:52:59 up  1:11,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 5.2%
Date 25.05.23, Time 13:53:59, Uptime:  13:53:59 up  1:12,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
Date 25.05.23, Time 13:54:59, Uptime:  13:54:59 up  1:13,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 6.5%
Date 25.05.23, Time 13:55:59, Uptime:  13:55:59 up  1:14,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.3'C, CPU_temp: 42.4°C, CPU_load: 5.2%
Date 25.05.23, Time 13:57:00, Uptime:  13:57:00 up  1:15,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.4%
