Date 25.05.23, Time 16:21:28, Uptime:  16:21:28 up  3:39,  4 users,  load average: 0.08, 0.02, 0.01, Load average:  0.08, 0.02, 0.01, GPU_temp=temp=42.8'C, CPU_temp: 42.8°C, CPU_load: 4.1%
Date 25.05.23, Time 16:22:28, Uptime:  16:22:28 up  3:40,  4 users,  load average: 0.03, 0.01, 0.00, Load average:  0.03, 0.01, 0.00, GPU_temp=temp=41.8'C, CPU_temp: 41.9°C, CPU_load: 5.1%
Date 25.05.23, Time 16:23:28, Uptime:  16:23:28 up  3:41,  4 users,  load average: 0.01, 0.00, 0.00, Load average:  0.01, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.8°C, CPU_load: 5.3%
Date 25.05.23, Time 16:24:29, Uptime:  16:24:29 up  3:42,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.8°C, CPU_load: 4.1%
Date 25.05.23, Time 16:25:29, Uptime:  16:25:29 up  3:43,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 43.8°C, CPU_load: 4.1%
Date 25.05.23, Time 16:26:29, Uptime:  16:26:29 up  3:44,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.5%
Date 25.05.23, Time 16:27:30, Uptime:  16:27:30 up  3:45,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 42.4°C, CPU_load: 3%
Date 25.05.23, Time 16:28:30, Uptime:  16:28:30 up  3:46,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.4°C, CPU_load: 4.1%
Date 25.05.23, Time 16:29:30, Uptime:  16:29:30 up  3:47,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 43.8°C, CPU_load: 5.2%
Date 25.05.23, Time 16:30:30, Uptime:  16:30:30 up  3:48,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 6.5%
Date 25.05.23, Time 16:31:31, Uptime:  16:31:31 up  3:49,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=43.8'C, CPU_temp: 42.8°C, CPU_load: 5.2%
Date 25.05.23, Time 16:32:31, Uptime:  16:32:31 up  3:50,  4 users,  load average: 0.08, 0.02, 0.01, Load average:  0.08, 0.02, 0.01, GPU_temp=temp=42.3'C, CPU_temp: 43.3°C, CPU_load: 5.2%
Date 25.05.23, Time 16:33:31, Uptime:  16:33:31 up  3:51,  4 users,  load average: 0.03, 0.01, 0.00, Load average:  0.03, 0.01, 0.00, GPU_temp=temp=42.8'C, CPU_temp: 42.4°C, CPU_load: 5.2%
Date 25.05.23, Time 16:34:32, Uptime:  16:34:32 up  3:52,  4 users,  load average: 0.07, 0.03, 0.01, Load average:  0.07, 0.03, 0.01, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 7.8%
Date 25.05.23, Time 16:35:32, Uptime:  16:35:32 up  3:53,  4 users,  load average: 0.11, 0.05, 0.01, Load average:  0.10, 0.05, 0.01, GPU_temp=temp=43.3'C, CPU_temp: 42.8°C, CPU_load: 5.4%
Date 25.05.23, Time 16:36:32, Uptime:  16:36:32 up  3:54,  4 users,  load average: 0.04, 0.04, 0.00, Load average:  0.04, 0.04, 0.00, GPU_temp=temp=43.3'C, CPU_temp: 43.3°C, CPU_load: 5.3%
