,sensor_id,latency
0,temperature,0.008707
1,temperature,1.007604
2,humidity,0.927528
3,temperature,0.010288
4,humidity,-0.009246
5,temperature,-0.010422
6,humidity,0.444875
7,pressure,-0.008617
8,temperature,0.036613
9,humidity,-0.009441
10,pressure,0.145597
11,temperature,0.054829
12,humidity,-0.00943
13,pressure,-0.007995
14,temperature,0.073247
15,humidity,-0.004393
16,pressure,0.178769
17,temperature,0.088441
18,humidity,0.013582
19,pressure,0.195966
20,temperature,-0.0114
21,humidity,-0.009129
22,pressure,0.008647
23,temperature,0.020849
24,humidity,-0.01169
25,pressure,0.027495
26,temperature,0.038468
27,humidity,-0.008094
28,pressure,0.045228
29,temperature,0.056599
30,humidity,-0.010671
31,pressure,0.061121
32,temperature,0.074098
33,humidity,0.001877
34,pressure,0.079986
35,temperature,0.194154
36,humidity,0.12317
37,pressure,0.102309
38,temperature,0.006409
39,humidity,-0.01068
40,pressure,0.114307
41,temperature,0.027544
42,humidity,-0.00906
43,pressure,0.133536
44,temperature,0.043019
45,humidity,-0.008738
46,pressure,0.117388
47,temperature,0.059542
48,humidity,-0.011228
49,pressure,0.066474
50,temperature,0.078786
51,humidity,0.007491
52,pressure,0.024037
53,temperature,0.096285
54,humidity,0.025815
55,pressure,0.201827
56,temperature,-0.00855
57,humidity,-0.008662
58,pressure,0.015339
59,temperature,0.027671
60,humidity,-0.008815
61,pressure,0.032125
62,temperature,0.045385
63,humidity,-0.008654
64,pressure,0.049413
65,temperature,0.041299
66,humidity,-0.008314
67,pressure,0.0673
68,temperature,0.00938
69,humidity,-0.008468
70,pressure,0.0851
71,temperature,0.097787
72,humidity,0.032752
73,pressure,0.010474
74,temperature,0.01419
75,humidity,-0.007708
76,pressure,-0.008225
77,temperature,-0.008547
78,humidity,-0.007569
79,pressure,0.036839
80,temperature,0.055069
81,humidity,-0.009312
82,pressure,0.156202
83,temperature,0.067081
84,humidity,0.006674
85,pressure,0.176608
86,temperature,0.083329
87,humidity,0.025919
88,pressure,0.191978
89,temperature,-0.008333
90,humidity,-0.01026
91,pressure,0.008168
92,temperature,-0.010035
93,humidity,-0.01027
94,pressure,0.025288
95,temperature,0.035134
96,humidity,-0.008718
97,pressure,0.042416
98,temperature,0.053119
99,humidity,-0.004646
100,pressure,0.058796
101,temperature,0.069394
102,humidity,0.013396
103,pressure,0.07808
104,temperature,0.087517
105,humidity,0.03389
106,pressure,0.096084
107,temperature,0.00802
108,humidity,-0.010034
109,pressure,0.109165
110,temperature,0.019799
111,humidity,-0.008547
112,pressure,-0.007697
113,temperature,0.038063
114,humidity,-0.010416
115,pressure,0.041179
116,temperature,-0.007749
117,humidity,-0.00816
118,pressure,0.018807
119,temperature,-0.007824
120,humidity,-0.008705
121,pressure,0.180949
122,temperature,0.089164
123,humidity,0.047205
124,pressure,0.09458
125,temperature,0.003941
126,humidity,-0.008174
127,pressure,0.019701
128,temperature,0.124502
129,humidity,0.120205
130,pressure,0.128416
131,temperature,0.038952
132,humidity,0.205151
133,pressure,0.043968
134,temperature,0.05661
135,humidity,0.109044
136,pressure,0.061749
137,temperature,0.073054
138,humidity,0.041628
139,pressure,0.080538
140,temperature,0.092763
141,humidity,0.065523
142,pressure,0.096806
143,temperature,0.007236
144,humidity,-0.00814
145,pressure,0.010799
146,temperature,-0.007668
147,humidity,0.014865
148,pressure,0.133591
149,temperature,0.042158
150,humidity,0.023748
151,pressure,0.15018
152,temperature,0.059196
153,humidity,0.043945
154,pressure,0.168358
155,temperature,0.077087
156,humidity,0.065077
157,pressure,0.184126
158,temperature,0.093537
159,humidity,0.083457
160,pressure,0.201711
161,temperature,-0.00766
162,humidity,-0.007913
163,pressure,0.014153
164,temperature,0.027703
165,humidity,0.024188
166,pressure,0.032648
167,temperature,-0.007964
168,humidity,-0.00719
169,pressure,0.047817
170,temperature,0.060104
171,humidity,0.06443
172,pressure,0.062648
173,temperature,-0.01012
174,humidity,-0.007175
175,pressure,0.079994
176,temperature,0.093641
177,humidity,0.094733
178,pressure,0.098406
179,temperature,0.006951
180,humidity,0.01306
181,pressure,0.114241
182,temperature,0.02538
183,humidity,0.027297
184,pressure,0.132813
185,temperature,0.044205
186,humidity,0.049228
187,pressure,0.148999
188,temperature,0.059867
189,humidity,0.065316
190,pressure,0.166006
191,temperature,0.179574
192,humidity,0.182043
193,pressure,0.183083
194,temperature,0.09418
195,humidity,0.09951
196,pressure,-0.0105
197,temperature,-0.010011
198,humidity,-0.004466
