,sensor_id,latency
0,temperature,0.01494
1,temperature,0.113102
2,temperature,0.027819
3,temperature,0.049241
4,temperature,0.028772
5,temperature,0.084243
6,temperature,0.098596
7,temperature,0.01543
8,temperature,0.034188
9,temperature,0.154409
10,temperature,0.023262
11,temperature,0.189655
12,temperature,0.204325
13,temperature,0.222132
14,temperature,0.036189
15,temperature,0.056122
16,temperature,0.071331
17,temperature,0.091868
18,temperature,0.106722
19,temperature,0.127571
20,temperature,0.041285
21,temperature,0.160663
22,temperature,0.17876
23,temperature,0.094508
24,temperature,0.21625
25,temperature,0.015352
26,temperature,0.046104
27,temperature,0.06703
28,temperature,0.081963
29,temperature,0.099485
30,temperature,0.117967
31,temperature,0.016391
32,temperature,0.153691
33,temperature,0.122517
34,temperature,0.156894
35,temperature,0.016056
36,temperature,0.225011
37,temperature,0.041063
38,temperature,0.056242
39,temperature,0.015841
40,temperature,0.091755
41,temperature,0.109927
42,temperature,0.025554
43,temperature,0.146375
44,temperature,0.063209
45,temperature,0.183719
46,temperature,0.060355
47,temperature,0.046633
48,temperature,0.015692
49,temperature,0.049663
50,temperature,0.067474
51,temperature,0.085829
52,temperature,0.103359
53,temperature,0.01816
54,temperature,0.139404
55,temperature,0.018239
56,temperature,0.141592
57,temperature,0.193365
58,temperature,0.210566
59,temperature,0.025319
60,temperature,0.041428
61,temperature,0.059631
62,temperature,0.018833
63,temperature,0.017858
64,temperature,0.114978
65,temperature,0.134621
66,temperature,0.150176
67,temperature,0.167708
68,temperature,0.083629
69,temperature,0.100722
70,temperature,0.226061
71,temperature,0.036136
72,temperature,0.052113
73,temperature,0.018532
74,temperature,0.096003
75,temperature,0.106069
76,temperature,0.123954
77,temperature,0.039224
78,temperature,0.159947
79,temperature,0.015429
80,temperature,0.093554
81,temperature,0.105454
82,temperature,0.01576
83,temperature,0.017752
84,temperature,0.064957
85,temperature,0.080366
86,temperature,0.098542
87,temperature,0.038161
88,temperature,0.078689
89,temperature,0.152513
90,temperature,0.170317
91,temperature,0.188308
92,temperature,0.206336
93,temperature,0.015418
94,temperature,0.037461
95,temperature,0.017351
96,temperature,0.073626
97,temperature,0.193539
98,temperature,0.110529
99,temperature,0.126922
100,temperature,0.144492
101,temperature,0.168083
102,temperature,0.184063
103,temperature,0.198235
104,temperature,0.016842
105,temperature,0.029057
106,temperature,0.149654
107,temperature,0.065231
108,temperature,0.08332
109,temperature,0.100959
110,temperature,0.0181
111,temperature,0.125477
112,temperature,0.155186
113,temperature,0.070469
114,temperature,0.017866
115,temperature,0.208122
116,temperature,0.226265
117,temperature,0.041297
118,temperature,0.057499
119,temperature,0.016152
120,temperature,0.093287
121,temperature,0.110835
122,temperature,0.026641
123,temperature,0.044365
124,temperature,0.062911
125,temperature,0.018144
126,temperature,0.098232
127,temperature,0.219196
128,temperature,0.031552
129,temperature,0.018046
130,temperature,0.017986
131,temperature,0.085315
132,temperature,0.103104
133,temperature,0.019529
134,temperature,0.036558
135,temperature,0.15706
136,temperature,0.174731
137,temperature,0.192601
138,temperature,0.210623
139,temperature,0.228437
140,temperature,0.017042
141,temperature,0.05973
142,temperature,0.018787
143,temperature,0.095281
144,temperature,0.033113
145,temperature,0.030616
146,temperature,0.148904
147,temperature,0.166906
148,temperature,0.18483
149,temperature,0.202783
150,temperature,0.018715
151,temperature,0.033912
152,temperature,0.051681
153,temperature,0.172235
154,temperature,0.087956
155,temperature,0.019648
156,temperature,0.123154
157,temperature,0.038608
158,temperature,0.056402
159,temperature,0.176671
160,temperature,0.092273
161,temperature,0.109884
162,temperature,0.23349
163,temperature,0.043476
164,temperature,0.061244
165,temperature,0.078917
166,temperature,0.097248
167,temperature,0.064542
168,temperature,0.018607
169,temperature,0.047884
170,temperature,0.06626
