,sensor_id,latency
0,temperature,0.009627
1,humidity,0.001677
2,temperature,0.001239
3,pressure,-2.8e-05
4,humidity,0.073568
5,temperature,0.000319
6,pressure,0.041039
7,humidity,0.094331
8,temperature,0.033606
9,pressure,0.055984
10,humidity,0.108716
11,temperature,0.049665
12,pressure,0.072672
13,humidity,0.000901
14,temperature,0.067371
15,pressure,0.090148
16,humidity,0.017344
17,temperature,0.087167
18,pressure,0.013774
19,humidity,0.057891
20,temperature,0.002897
21,pressure,0.023008
22,humidity,0.075087
23,temperature,0.017931
24,pressure,0.040594
25,humidity,0.092964
26,temperature,0.036451
27,pressure,0.058673
28,humidity,0.007444
29,temperature,0.155882
30,pressure,0.000291
31,humidity,0.028022
32,temperature,0.071112
33,pressure,0.093804
34,humidity,0.27405
35,temperature,0.089085
36,pressure,-0.001484
37,humidity,0.036051
38,temperature,0.000631
39,pressure,0.028028
40,humidity,0.000555
41,temperature,0.01736
42,pressure,-8.8e-05
43,humidity,0.099693
44,temperature,0.045227
45,pressure,0.066575
46,humidity,0.114267
47,temperature,0.061115
48,pressure,0.084851
49,humidity,0.030237
50,temperature,0.07964
51,pressure,0.102404
52,humidity,0.025685
53,temperature,0.099647
54,pressure,0.120773
55,humidity,0.066705
56,temperature,0.115416
57,pressure,0.002204
58,humidity,0.187614
59,temperature,0.030878
60,pressure,0.05427
61,humidity,0.103528
62,temperature,0.049781
63,pressure,0.071756
64,humidity,0.01996
65,temperature,0.168761
66,pressure,0.000839
67,humidity,0.041266
68,temperature,0.186325
69,pressure,0.012453
70,humidity,0.056258
71,temperature,0.104934
72,pressure,-0.00046
73,humidity,0.076964
74,temperature,0.016973
75,pressure,0.039378
76,humidity,0.091582
77,temperature,0.000874
78,pressure,0.057994
79,humidity,0.112847
80,temperature,0.053588
81,pressure,0.075186
82,humidity,0.025183
83,temperature,0.000919
84,pressure,0.093621
85,humidity,-0.000742
86,temperature,0.089078
87,pressure,-0.00183
88,humidity,0.16442
89,temperature,0.108841
90,pressure,0.000893
91,humidity,0.181929
92,temperature,0.02291
93,pressure,0.045332
94,humidity,0.097554
95,temperature,0.040461
96,pressure,0.06338
97,humidity,0.016128
98,temperature,0.160642
99,pressure,0.000538
100,humidity,0.007124
101,temperature,0.076522
102,pressure,0.099307
103,humidity,0.052792
104,temperature,0.197498
105,pressure,0.024131
106,humidity,0.067711
107,temperature,0.012594
108,pressure,0.034701
109,humidity,0.089599
110,temperature,0.029428
111,pressure,0.052294
112,humidity,0.104974
113,temperature,0.04789
114,pressure,0.07092
115,humidity,0.020899
116,temperature,0.068099
117,pressure,0.089647
118,humidity,0.038369
119,temperature,0.084248
120,pressure,0.001411
121,humidity,0.057294
122,temperature,0.101686
123,pressure,0.000881
124,humidity,0.177517
125,temperature,0.017824
126,pressure,0.041129
127,humidity,0.093551
128,temperature,0.036311
129,pressure,0.059347
130,humidity,0.009024
131,temperature,0.156808
132,pressure,0.001015
133,humidity,0.029546
134,temperature,0.001009
135,pressure,0.095006
136,humidity,0.04469
137,temperature,0.089535
138,pressure,-0.00078
139,humidity,0.062875
140,temperature,0.210241
141,pressure,0.035301
142,humidity,0.080384
143,temperature,0.024909
144,pressure,0.046365
145,humidity,0.098342
146,temperature,0.040862
147,pressure,0.063777
148,humidity,0.013907
149,temperature,0.060339
150,pressure,0.082024
151,humidity,0.03185
152,temperature,0.07746
153,pressure,0.001238
154,humidity,0.050142
155,temperature,0.095343
156,pressure,0.000888
157,humidity,0.170755
158,temperature,-0.000297
159,pressure,0.046035
160,humidity,0.061352
161,temperature,0.067994
162,pressure,0.000995
163,humidity,0.134078
164,temperature,0.047105
165,pressure,0.001435
166,humidity,-0.001012
167,temperature,-0.000734
168,pressure,0.00126
169,humidity,0.001526
170,temperature,0.185911
171,pressure,0.012807
172,humidity,0.05573
173,temperature,-0.000385
174,pressure,0.021234
175,humidity,0.001184
176,temperature,0.001227
177,pressure,0.039575
178,humidity,0.091782
179,temperature,0.036219
180,pressure,0.057038
