,sensor_id,latency
0,pressure,-0.005922
1,pressure,0.00642
2,pressure,0.019375
3,pressure,0.040581
4,pressure,0.054943
5,pressure,0.075911
6,pressure,0.090237
7,pressure,0.107967
8,pressure,0.125705
9,pressure,0.142849
10,pressure,0.160732
11,pressure,0.178148
12,pressure,0.195782
13,pressure,0.011866
14,pressure,0.027433
15,pressure,3.480403
16,pressure,2.50953
17,pressure,1.505544
18,pressure,0.501126
19,pressure,0.011519
20,pressure,0.029336
21,pressure,0.149363
22,pressure,0.167121
23,pressure,0.184626
24,pressure,0.202286
25,pressure,0.015047
26,pressure,0.03298
27,pressure,-0.003107
28,pressure,0.068126
29,pressure,0.086124
30,pressure,0.103945
31,pressure,0.121567
32,pressure,0.036637
33,pressure,0.054568
34,pressure,0.174636
35,pressure,0.192237
36,pressure,0.004879
37,pressure,0.022128
38,pressure,0.039586
39,pressure,0.05739
40,pressure,0.075064
41,pressure,0.09281
42,pressure,0.110537
43,pressure,0.127819
44,pressure,0.145539
45,pressure,-0.003532
46,pressure,0.180648
47,pressure,0.197704
48,pressure,0.030293
49,pressure,0.232822
50,pressure,-0.005526
51,pressure,0.062789
52,pressure,0.080545
53,pressure,0.098265
54,pressure,0.116033
55,pressure,0.133612
56,pressure,0.138438
57,pressure,0.131903
58,pressure,0.084168
59,pressure,0.204285
60,pressure,-0.006478
61,pressure,0.034724
62,pressure,0.052529
63,pressure,-0.003529
64,pressure,0.087743
65,pressure,0.105463
66,pressure,0.12355
67,pressure,0.141181
68,pressure,0.158729
69,pressure,0.177073
70,pressure,0.193995
71,pressure,0.006691
72,pressure,0.024205
73,pressure,0.041737
74,pressure,0.059013
75,pressure,0.07615
76,pressure,0.093858
77,pressure,-0.004303
78,pressure,0.23097
79,pressure,-0.005371
80,pressure,0.163841
81,pressure,0.181398
82,pressure,0.096138
83,pressure,0.011708
84,pressure,0.02919
85,pressure,0.046856
86,pressure,0.064676
87,pressure,0.081854
88,pressure,0.099531
89,pressure,0.116985
90,pressure,0.021271
91,pressure,0.152681
92,pressure,0.170324
93,pressure,0.085612
94,pressure,0.206149
95,pressure,0.018821
96,pressure,-0.004151
97,pressure,0.053795
98,pressure,0.071775
99,pressure,0.089497
100,pressure,0.004645
101,pressure,0.021864
102,pressure,-0.003595
103,pressure,0.159698
104,pressure,0.177331
105,pressure,0.092587
106,pressure,0.219687
107,pressure,-0.003005
108,pressure,0.043767
109,pressure,0.061388
110,pressure,0.078822
111,pressure,0.09617
112,pressure,0.114306
113,pressure,0.131747
114,pressure,0.119644
115,pressure,0.064793
116,pressure,0.185313
117,pressure,0.204406
118,pressure,0.015307
119,pressure,0.135502
120,pressure,0.050885
121,pressure,0.068549
122,pressure,0.086377
123,pressure,0.104329
124,pressure,0.019317
125,pressure,0.139681
126,pressure,0.184489
127,pressure,0.174745
128,pressure,0.191886
129,pressure,0.004639
130,pressure,0.021731
131,pressure,0.03975
132,pressure,0.058961
133,pressure,0.075129
134,pressure,0.092592
135,pressure,0.112187
136,pressure,0.12739
137,pressure,0.042278
138,pressure,0.060057
139,pressure,0.077092
140,pressure,0.095005
141,pressure,0.012012
142,pressure,0.027984
143,pressure,0.045922
144,pressure,0.065394
145,pressure,0.081029
146,pressure,0.101856
147,pressure,0.118314
148,pressure,0.137703
149,pressure,0.049697
150,pressure,0.067615
151,pressure,0.187914
152,pressure,-0.006446
153,pressure,0.019809
154,pressure,0.036264
155,pressure,0.053681
156,pressure,0.075798
157,pressure,0.089073
158,pressure,0.109826
159,pressure,0.124708
160,pressure,0.135667
161,pressure,0.159983
162,pressure,0.181126
163,pressure,0.04182
164,pressure,0.01149
165,pressure,0.027809
166,pressure,0.046755
167,pressure,0.265683
168,pressure,0.129135
169,pressure,0.300974
170,pressure,0.010628
171,pressure,0.124841
172,pressure,0.151255
173,pressure,0.165557
174,pressure,0.183136
175,pressure,-0.001712
176,pressure,-0.003215
177,pressure,0.030943
178,pressure,0.051988
179,pressure,0.065725
180,pressure,0.086429
181,pressure,-0.0023
182,pressure,0.118997
183,pressure,0.136575
184,pressure,0.154536
185,pressure,0.171904
186,pressure,0.18946
187,pressure,0.208898
188,pressure,0.024369
189,pressure,0.039252
190,pressure,0.056375
191,pressure,0.087052
192,pressure,0.091995
193,pressure,0.109507
194,pressure,0.128283
195,pressure,0.041274
196,pressure,0.161849
197,pressure,0.03061
198,pressure,-0.003748
199,pressure,0.010309
200,pressure,0.027579
201,pressure,0.045484
202,pressure,-0.003227
203,pressure,0.08154
204,pressure,0.098546
205,pressure,0.116588
206,pressure,0.134334
207,pressure,0.151737
208,pressure,0.014845
209,pressure,0.08381
210,pressure,0.203979
211,pressure,0.016818
212,pressure,-0.00171
213,pressure,-0.003743
214,pressure,0.070388
215,pressure,0.08803
216,pressure,0.105887
217,pressure,0.123639
218,pressure,0.140904
219,pressure,-0.002435
220,pressure,0.074418
221,pressure,0.194869
222,pressure,0.007927
223,pressure,0.025667
224,pressure,-0.0065
225,pressure,-0.00457
226,pressure,0.079016
227,pressure,0.096598
228,pressure,0.1139
229,pressure,0.131286
230,pressure,0.149139
231,pressure,0.166751
232,pressure,0.191525
233,pressure,-0.002995
234,pressure,0.014809
235,pressure,0.03246
236,pressure,0.049823
237,pressure,0.040415
238,pressure,0.085416
239,pressure,0.103146
240,pressure,0.018652
241,pressure,-0.006114
242,pressure,0.156588
243,pressure,-0.003826
244,pressure,-0.005447
245,pressure,0.106992
246,pressure,0.025198
247,pressure,0.043025
248,pressure,0.06021
249,pressure,0.078245
250,pressure,0.095965
251,pressure,0.113938
252,pressure,0.132397
253,pressure,0.149225
254,pressure,0.166891
255,pressure,0.184502
256,pressure,0.099751
257,pressure,0.015154
258,pressure,-0.005363
259,pressure,0.050388
260,pressure,0.067729
261,pressure,0.08517
262,pressure,0.102636
263,pressure,0.120745
264,pressure,-0.005145
265,pressure,0.156266
266,pressure,0.174717
267,pressure,0.15787
268,pressure,0.131977
269,pressure,0.023074
270,pressure,0.041073
271,pressure,0.058521
272,pressure,0.075972
273,pressure,0.093294
274,pressure,0.111153
275,pressure,0.027888
276,pressure,0.14692
277,pressure,0.165191
278,pressure,-0.00346
279,pressure,0.097324
280,pressure,0.012595
281,pressure,0.236873
282,pressure,0.047632
283,pressure,0.065444
284,pressure,0.083224
285,pressure,0.100453
286,pressure,0.118248
287,pressure,0.137846
288,pressure,0.051447
289,pressure,0.171581
290,pressure,0.136433
291,pressure,0.206889
292,pressure,0.020084
293,pressure,0.037724
294,pressure,0.055266
295,pressure,0.041649
296,pressure,0.09222
297,pressure,0.108112
298,pressure,-0.006151
299,pressure,0.145614
300,pressure,0.161351
301,pressure,0.179311
